1,0,14
14,0,21
15,0,18
16,0,9
2,0,10
3,1,1
3,2,4
4,2,2
3,3,1
11,4,5
27,4,1
3,4,1
4,4,1
4,5,1
4,6,1
3,7,1
3,8,2
3,9,1
3,10,1
4,10,3
1,11,15
14,11,16
15,11,16
16,11,12
2,11,17
3,11,1
5,12,1
2,13,1
3,14,8
3,15,1
5,16,2
5,17,1
5,18,1
5,19,1
11,20,4
16,21,10
1,22,9
14,22,20
15,22,11
16,22,10
2,22,18
2,23,8
1,24,15
14,24,22
15,24,11
16,24,9
2,24,34
1,25,1
18,25,1
18,26,1
18,27,1
18,28,1
11,29,4
5,30,1
5,31,1
5,32,1
5,33,1
5,34,2
5,35,3
5,36,1
5,37,3
5,38,3
18,39,1
21,40,1
27,41,1
27,42,1
11,43,2
21,43,1
5,43,1
1,44,10
11,44,3
14,44,15
15,44,11
16,44,7
17,44,4
18,44,2
2,44,11
21,44,3
27,44,2
5,44,1
17,45,1
1,46,1
18,46,2
2,46,15
27,46,1
18,47,1
2,47,25
17,48,1
17,49,1
17,50,1
1,51,13
14,51,19
15,51,16
16,51,11
18,51,1
2,51,12
21,51,2
27,51,1
5,51,1
27,52,3
17,53,4
21,53,1
27,53,1
5,53,1
27,54,1
1,55,20
14,55,19
15,55,18
16,55,9
2,55,11
27,55,1
2,56,7
20,57,1
4,58,2
3,59,1
3,60,1
4,61,1
4,62,1
3,63,1
3,64,1
4,65,1
3,66,1
4,67,1
4,68,2
4,69,1
3,70,2
11,71,3
3,71,2
4,71,2
3,72,3
16,73,1
16,74,1
3,75,1
3,76,1
3,77,1
4,78,1
3,79,2
1,80,1
2,80,1
1,81,1
2,81,1
3,81,9
18,82,1
13,83,5
13,84,4
11,85,11
11,86,25
13,86,3
99,55,2
99,51,1
